Author,Academic Year,Title
Ellen Hopkins,2023-2024,523
Sarah J. Maas,2023-2024,481
Stephen King,2023-2024,173
Jodi Picoult,2023-2024,161
John Green,2023-2024,157
Colleen Hoover,2023-2024,147
Margaret Atwood,2023-2024,125
Toni Morrison,2023-2024,116
Lauren Myracle,2023-2024,108
Elana K. Arnold,2023-2024,93
Laurie Halse Anderson,2023-2024,89
Patricia McCormick,2023-2024,88
Stephen Chbosky,2023-2024,87
Khaled Hosseini,2023-2024,86
Alice Sebold,2023-2024,86
Jay Asher,2023-2024,78
Jesse Andrews,2023-2024,76
P. C. Cast,2023-2024,67
Sara Gruen,2023-2024,66
George R. R. Martin,2023-2024,63
Tiffany D. Jackson,2023-2024,62
Sherman Alexie,2023-2024,58
Angie Thomas,2023-2024,56
Alice Walker,2023-2024,53
Rupi Kaur,2023-2024,50
Kurt Vonnegut Jr.,2023-2024,50
Judy Blume,2023-2024,49
Jennifer Niven,2023-2024,47
Elizabeth Scott,2023-2024,46
James Patterson,2023-2024,44
Maya Angelou,2023-2024,43
Cassandra Clare,2023-2024,43
E. R. Frank,2023-2024,43
Erika L. Sanchez,2023-2024,42
Ashley Hope Perez,2023-2024,41
Tahereh Mafi,2023-2024,40
Malinda Lo,2023-2024,37
Rainbow Rowell,2023-2024,37
George M. Johnson,2023-2024,36
Mindy McGinnis,2023-2024,36
Gregory Maguire,2023-2024,35
Stephenie Meyer,2023-2024,35
Amy Reed,2023-2024,35
Sara Shepard,2023-2024,34
Aldous Huxley,2023-2024,33
Nicholas Sparks,2023-2024,33
Elizabeth Acevedo,2023-2024,32
Susan Kuklin,2023-2024,32
Raina Telgemeier,2023-2024,32
Meg Cabot,2023-2024,31
